city,lat,lng,country,population
Tokyo,35.6897,139.6922,Japan,37977000.0
Jakarta,-6.2146,106.8451,Indonesia,34540000.0
Delhi,28.66,77.23,India,29617000.0
Mumbai,18.9667,72.8333,India,23355000.0
Manila,14.5958,120.9772,Philippines,23088000.0
Shanghai,31.1667,121.4667,China,22120000.0
Sao Paulo,-23.5504,-46.6339,Brazil,22046000.0
Seoul,37.5833,127.0,"Korea, South",21794000.0
Mexico City,19.4333,-99.1333,Mexico,20996000.0
Guangzhou,23.1288,113.259,China,20902000.0
Beijing,39.905,116.3914,China,19433000.0
Cairo,30.0561,31.2394,Egypt,19372000.0
New York,40.6943,-73.9249,United States,18713220.0
Kolkata,22.5411,88.3378,India,17560000.0
Moscow,55.7558,37.6178,Russia,17125000.0
Bangkok,13.75,100.5167,Thailand,17066000.0
Buenos Aires,-34.5997,-58.3819,Argentina,16157000.0
Shenzhen,22.535,114.054,China,15929000.0
Dhaka,23.7161,90.3961,Bangladesh,15443000.0
Lagos,6.45,3.4,Nigeria,15279000.0
Istanbul,41.01,28.9603,Turkey,15154000.0
Osaka,34.6936,135.5019,Japan,14977000.0
Karachi,24.86,67.01,Pakistan,14835000.0
Bangalore,12.9699,77.598,India,13707000.0
Tehran,35.7,51.4167,Iran,13633000.0
Kinshasa,-4.3317,15.3139,Congo (Kinshasa),13528000.0
Ho Chi Minh City,10.8167,106.6333,Vietnam,13312000.0
Los Angeles,34.1139,-118.4068,United States,12750807.0
Rio de Janeiro,-22.9083,-43.1964,Brazil,12272000.0
Nanyang,32.9987,112.5292,China,12010000.0
Chennai,13.0825,80.275,India,11324000.0
Chengdu,30.6636,104.0667,China,11309000.0
Lahore,31.5497,74.3436,Pakistan,11021000.0
Paris,48.8566,2.3522,France,11020000.0
London,51.5072,-0.1275,United Kingdom,10979000.0
Linyi,35.0606,118.3425,China,10820000.0
Tianjin,39.1467,117.2056,China,10800000.0
Shijiazhuang,38.0422,114.5086,China,10784600.0
Baoding,38.8671,115.4845,China,10700000.0
Zhoukou,33.625,114.6418,China,9901000.0
Lima,-12.05,-77.0333,Peru,9848000.0
Hyderabad,17.3667,78.4667,India,9746000.0
Bogota,4.6126,-74.0705,Colombia,9464000.0
Weifang,36.7167,119.1,China,9373000.0
Nagoya,35.1167,136.9333,Japan,9113000.0
Wuhan,30.5872,114.2881,China,8962000.0
Heze,35.2333,115.4333,China,8750000.0
Ganzhou,25.8292,114.9336,China,8677600.0
Tongshan,34.261,117.1859,China,8669000.0
Chicago,41.8373,-87.6862,United States,8604203.0
Handan,36.6116,114.4894,China,8499000.0
Luanda,-8.8383,13.2344,Angola,8417000.0
Fuyang,32.8986,115.8045,China,8360000.0
Kuala Lumpur,3.1478,101.6953,Malaysia,8285000.0
Jining,35.4,116.5667,China,8023000.0
Dongguan,23.0475,113.7493,China,7981000.0
Hanoi,21.0245,105.8412,Vietnam,7785000.0
Pune,18.5196,73.8553,India,7764000.0
Chongqing,29.55,106.5069,China,7739000.0
Changchun,43.9,125.2,China,7674439.0
Zhumadian,32.9773,114.0253,China,7640000.0
Ningbo,29.875,121.5492,China,7639000.0
Onitsha,6.1667,6.7833,Nigeria,7635000.0
Nanjing,32.05,118.7667,China,7496000.0
Hefei,31.8639,117.2808,China,7457027.0
Ahmadabad,23.03,72.58,India,7410000.0
Hong Kong,22.305,114.185,Hong Kong,7347000.0
Nantong,31.9829,120.8873,China,7282835.0
Khartoum,15.6031,32.5265,Sudan,7282000.0
Yancheng,33.3936,120.1339,China,7260240.0
Foshan,23.0292,113.1056,China,7194311.0
Nanning,22.8192,108.315,China,7153300.0
Hengyang,26.8968,112.5857,China,7148344.0
Xi'an,34.2667,108.9,China,7135000.0
Shenyang,41.8039,123.4258,China,7105000.0
Tangshan,39.6292,118.1742,China,7100000.0
Shaoyang,27.2418,111.4725,China,7071000.0
Changsha,28.1987,112.9709,China,7044118.0
Santiago,-33.45,-70.6667,Chile,7007000.0
Zhengzhou,34.7492,113.6605,China,7005000.0
Zhanjiang,21.1967,110.4031,China,6900000.0
Riyadh,24.65,46.71,Saudi Arabia,6881000.0
Cangzhou,38.3037,116.8452,China,6800000.0
Maoming,21.6618,110.9178,China,6706000.0
Dar es Salaam,-6.8,39.2833,Tanzania,6698000.0
Huanggang,30.45,114.875,China,6667000.0
Xinyang,32.1264,114.0672,China,6634000.0
Shangrao,28.4419,117.9633,China,6579714.0
Luoyang,34.6587,112.4245,China,6549941.0
Bijie,27.3019,105.2863,China,6537498.0
Yantai,37.3997,121.2664,China,6516900.0
Quanzhou,24.9139,118.5858,China,6480000.0
Hangzhou,30.25,120.1675,China,6446000.0
Miami,25.7839,-80.2102,United States,6445545.0
Kunming,25.0433,102.7061,China,6250000.0
Nanchong,30.7991,106.0784,China,6183000.0
Zunyi,27.705,106.9336,China,6127009.0
Lu'an,31.7542,116.5078,China,6090000.0
Yichun,27.8041,114.383,China,6048700.0
Taizhou,28.6583,121.4221,China,5968838.0
Liaocheng,36.45,115.9833,China,5955300.0
Qujing,25.5102,103.8029,China,5855055.0
Xiangyang,32.0654,112.1531,China,5844000.0
Surat,21.17,72.83,India,5807000.0
Baghdad,33.35,44.4167,Iraq,5796000.0
Qingdao,36.1167,120.4,China,5775000.0
Singapore,1.3,103.8,Singapore,5745000.0
Dallas,32.7936,-96.7662,United States,5743938.0
Changde,29.0397,111.6839,China,5717200.0
Dazhou,31.2152,107.4947,China,5693000.0
Suzhou,33.6333,116.9683,China,5690000.0
Philadelphia,40.0077,-75.1339,United States,5649300.0
Jieyang,23.5533,116.3649,China,5634000.0
Nairobi,-1.2864,36.8172,Kenya,5545000.0
Nangandao,35.2992,113.8851,China,5516000.0
Ankara,39.93,32.85,Turkey,5503985.0
Tai'an,36.2001,117.0809,China,5499000.0
Yulin,22.6293,110.1507,China,5487368.0
Dezhou,37.4513,116.3105,China,5470000.0
Houston,29.7863,-95.3889,United States,5464251.0
Atlanta,33.7627,-84.4224,United States,5449398.0
Rangoon,16.8,96.15,Burma,5430000.0
Toronto,43.7417,-79.3733,Canada,5429524.0
Suihua,46.6384,126.9808,China,5420000.0
Washington,38.9047,-77.0163,United States,5379184.0
Qiqihar,47.3398,123.9512,China,5367003.0
Jinhua,29.1046,119.6494,China,5361572.0
Saint Petersburg,59.95,30.3167,Russia,5351935.0
Shantou,23.3735,116.6941,China,5319028.0
Sydney,-33.865,151.2094,Australia,5312163.0
Weinan,34.4996,109.4684,China,5300000.0
Suqian,33.9331,118.2831,China,5290000.0
Guadalajara,20.6767,-103.3475,Mexico,5253000.0
Suzhou,31.304,120.6164,China,5250000.0
Fuzhou,26.0769,119.2917,China,5245000.0
Zhaotong,27.3328,103.7144,China,5213521.0
Pudong,31.2231,121.5397,China,5187200.0
Yongzhou,26.4515,111.5953,China,5180235.0
Belo Horizonte,-19.8917,-43.9478,Brazil,5159000.0
Zhangzhou,24.5093,117.6612,China,5140000.0
Bozhou,33.8626,115.7742,China,5100000.0
Melbourne,-37.8136,144.9631,Australia,5078193.0
Nanchang,28.6842,115.8872,China,5042565.0
Xianyang,34.35,108.7167,China,5040000.0
Taizhou,32.4831,119.9,China,5031000.0
Abidjan,5.3364,-4.0267,Côte D’Ivoire,4980000.0
Surabaya,-7.2458,112.7378,Indonesia,4975000.0
Ji'an,27.1172,114.9793,China,4956600.0
Mianyang,31.4669,104.7385,China,4945000.0
Shaoxing,30.0,120.5833,China,4912239.0
Alexandria,31.2,29.9167,Egypt,4870000.0
Yuncheng,35.0304,110.998,China,4860000.0
Pingdingshan,33.735,113.2999,China,4838000.0
Huai'an,33.5,119.1331,China,4799889.0
Xinpu,34.5906,119.1801,China,4790000.0
Guilin,25.2667,110.2833,China,4747963.0
Huaihua,27.5494,109.9592,China,4741948.0
Jiujiang,29.7048,116.0021,China,4728778.0
Anqing,30.5,117.0333,China,4723000.0
Boston,42.3188,-71.0846,United States,4688346.0
Huanglongsi,34.7936,114.3403,China,4676159.0
Xiaoganzhan,30.9273,113.911,China,4665000.0
Changzhou,31.8122,119.9692,China,4592431.0
Barcelona,41.3825,2.1769,Spain,4588000.0
Chenzhou,25.7989,113.0267,China,4581778.0
Wuxi,31.5667,120.2833,China,4580000.0
Zibo,36.7831,118.0497,China,4530597.0
Jiaxing,30.7522,120.75,China,4501657.0
Dalian,38.9131,121.61,China,4480000.0
Yangzhou,32.3912,119.4363,China,4459000.0
Harbin,45.75,126.6333,China,4458000.0
Yibin,28.7596,104.64,China,4456000.0
Jiangmen,22.5833,113.0833,China,4448871.0
Johannesburg,-26.2044,28.0416,South Africa,4434827.0
Meizhou,24.2998,116.1191,China,4378800.0
Chifeng,42.2663,118.9223,China,4376600.0
Casablanca,33.5992,-7.62,Morocco,4370000.0
Guiyang,26.5794,106.7078,China,4365000.0
Langfang,39.5196,116.7006,China,4358839.0
Zhangjiakou,40.8108,114.8811,China,4345491.0
Izmir,38.4127,27.1384,Turkey,4320519.0
Linfen,36.0812,111.5087,China,4316610.0
Wenzhou,27.9991,120.6561,China,4310000.0
Monterrey,25.6667,-100.3,Mexico,4295000.0
Luzhou,28.8918,105.4409,China,4291000.0
Jiangguanchi,34.0244,113.8201,China,4289000.0
Neijiang,29.5872,105.0635,China,4238000.0
Phoenix,33.5722,-112.0891,United States,4219697.0
Yanjiang,30.1256,104.6397,China,4217000.0
Yiyang,28.5833,112.3333,China,4174000.0
Zhaoqing,23.047,112.465,China,4151700.0
Hengshui,37.7348,115.686,China,4150000.0
Guigang,23.0961,109.6092,China,4118808.0
Xiaoxita,30.7083,111.2803,China,4115000.0
Xiamen,24.4797,118.0819,China,4110000.0
Chuzhou,32.3062,118.3115,China,4110000.0
Fuzhou,27.9814,116.3577,China,4047200.0
Amman,31.95,35.9333,Jordan,4007526.0
Jeddah,21.5428,39.1728,Saudi Arabia,3976000.0
Sialkot City,32.5,74.5333,Pakistan,3893672.0
Huizhou,23.1115,114.4152,China,3875000.0
Qingyuan,23.6842,113.0507,China,3874000.0
Zhuzhou,27.8407,113.1469,China,3855609.0
Wuhu,31.334,118.3622,China,3842100.0
Hechi,23.0965,109.6091,China,3830000.0
Seattle,47.6211,-122.3244,United States,3789215.0
Loudi,27.7378,111.9974,China,3785627.0
Binzhou,37.3806,118.0125,China,3779200.0
Liuzhou,24.3181,109.4069,China,3758704.0
Yokohama,35.4333,139.6333,Japan,3748781.0
Baojishi,34.3609,107.1751,China,3738700.0
Guang'an,30.4673,106.6336,China,3723000.0
Hanzhong,33.0794,107.026,China,3700000.0
Kabul,34.5328,69.1658,Afghanistan,3678034.0
Zaozhuang,34.8667,117.55,China,3650000.0
Anshan,41.1066,122.9895,China,3645884.0
Berlin,52.5167,13.3833,Germany,3644826.0
Deyang,31.1289,104.395,China,3636000.0
Lanzhou,36.0617,103.8318,China,3616163.0
Chengde,40.9739,117.9322,China,3610000.0
San Francisco,37.7562,-122.443,United States,3592294.0
Puyang,35.7639,115.03,China,3580000.0
Suining,30.5098,105.5737,China,3556000.0
Jiaozuo,35.229,113.2304,China,3540101.0
Bengbu,32.9354,117.3531,China,3525000.0
Montreal,45.5089,-73.5617,Canada,3519595.0
Detroit,42.3834,-83.1024,United States,3506126.0
Baicheng,23.901,106.6194,China,3466758.0
Busan,35.1,129.0403,"Korea, South",3440484.0
Algiers,36.7764,3.0586,Algeria,3415811.0
Qincheng,34.5809,105.7311,China,3400000.0
Taiyuan,37.8733,112.5425,China,3398000.0
Lucknow,26.847,80.947,India,3382000.0
Chaoyang,41.5757,120.4486,China,3370000.0
Hechi,24.6928,108.085,China,3369251.0
Leshan,29.5854,103.7575,China,3364000.0
Yulinshi,38.2655,109.7388,China,3328000.0
Siping,43.1715,124.3644,China,3300000.0
Madrid,40.4189,-3.6919,Spain,3266126.0
Jinan,36.6667,116.9833,China,3250000.0
Changzhi,36.1953,113.097,China,3230000.0
Shiyan,32.6351,110.7755,China,3228000.0
San Diego,32.8312,-117.1225,United States,3220118.0
Faisalabad,31.418,73.079,Pakistan,3203846.0
Santa Cruz,-17.7892,-63.1975,Bolivia,3151676.0
Bazhou,31.8576,106.7559,China,3134000.0
Zhongshan,22.5333,113.35,China,3121275.0
Zhenjiang,32.2109,119.4551,China,3113384.0
Urumqi,43.825,87.6,China,3112559.0
Tongliao,43.6172,122.264,China,3094600.0
Heyuan,23.7503,114.6923,China,3093900.0
Tongren,27.7233,109.1885,China,3093204.0
Qinzhou,21.95,108.6167,China,3079721.0
Jaipur,26.9167,75.8667,India,3073350.0
Xinzhou,38.4178,112.7233,China,3067501.0
Addis Ababa,9.0272,38.7369,Ethiopia,3041002.0
Giza,29.987,31.2118,Egypt,3021542.0
Meishan,30.0575,103.8381,China,3020000.0
Brasilia,-15.7744,-48.0773,Brazil,3015268.0
Mashhad,36.3069,59.6042,Iran,3001184.0
Jinzhou,41.1144,121.1292,China,3000000.0
Tieling,42.2841,123.8365,China,3000000.0
Shaoguan,24.8011,113.5927,China,2997600.0
Shanwei,22.7664,115.3331,China,2990000.0
Minneapolis,44.9635,-93.2678,United States,2977172.0
Kyiv,50.45,30.5236,Ukraine,2967000.0
Sanaa,15.35,44.2,Yemen,2957000.0
Quezon City,14.6333,121.0333,Philippines,2936116.0
Dingxi,35.5806,104.6263,China,2930000.0
Salvador,-12.9708,-38.5108,Brazil,2921087.0
Incheon,37.4639,126.6486,"Korea, South",2913024.0
Ningde,26.6667,119.5167,China,2910000.0
Tampa,27.9942,-82.4451,United States,2908063.0
Daqing,46.5979,125.008,China,2904532.0
Bursa,40.1833,29.0667,Turkey,2901396.0
Putian,25.4394,119.0103,China,2900000.0
Birmingham,52.48,-1.9025,United Kingdom,2897303.0
Huzhou,30.8695,120.0958,China,2893542.0
Wuzhou,23.4833,111.3167,China,2882200.0
Denver,39.7621,-104.8759,United States,2876625.0
Rome,41.8931,12.4828,Italy,2872800.0
La Paz,-16.4942,-68.1475,Bolivia,2867504.0
Pyongyang,39.03,125.73,"Korea, North",2863000.0
Kano,12.0,8.5167,Nigeria,2828861.0
Omdurman,15.6835,32.4629,Sudan,2805396.0
Taichung,24.15,120.6667,Taiwan,2803894.0
Zigong,29.3498,104.7645,China,2800000.0
Qinhuangdao,39.9398,119.5881,China,2800000.0
Mudanjiang,44.5861,129.5997,China,2790000.0
Huludao,40.7094,120.8378,China,2787000.0
Kaohsiung,22.6167,120.3,Taiwan,2773533.0
Xiangtan,27.8431,112.9228,China,2748552.0
Guayaquil,-2.1833,-79.8833,Ecuador,2723665.0
Rizhao,35.4164,119.4331,China,2720000.0
Manchester,53.4794,-2.2453,United Kingdom,2705000.0
Cawnpore,26.4725,80.3311,India,2701324.0
Baotou,40.6562,109.8345,China,2700000.0
Nanping,26.6448,118.1728,China,2690000.0
Taipei,25.0478,121.5319,Taiwan,2684567.0
Longyan,25.0881,117.0244,China,2640000.0
Hohhot,40.8151,111.6629,China,2635000.0
Ibadan,7.3964,3.9167,Nigeria,2628000.0
Chaozhou,23.67,116.63,China,2620000.0
Longba,33.535,105.349,China,2614000.0
Antananarivo,-18.9386,47.5214,Madagascar,2610000.0
Weihai,37.5,122.1,China,2596753.0
Santo Domingo,18.4764,-69.8933,Dominican Republic,2581827.0
Chattogram,22.335,91.8325,Bangladesh,2581643.0
Xuanzhou,30.9475,118.7518,China,2580000.0
Sanming,26.2658,117.6302,China,2580000.0
Brooklyn,40.6501,-73.9496,United States,2559903.0
Medellin,6.2447,-75.5748,Colombia,2529403.0
Brisbane,-27.4678,153.0281,Australia,2514184.0
Baoshan,25.1211,99.169,China,2506491.0
Dubai,25.2697,55.3094,United Arab Emirates,2502715.0
Qinbaling,35.7278,107.64,China,2500000.0
Luohe,33.583,114.0109,China,2500000.0
Mirzapur,25.15,82.58,India,2496970.0
Guangyuan,32.4353,105.8398,China,2484122.0
Cali,3.44,-76.5197,Colombia,2471474.0
Daegu,35.8667,128.6,"Korea, South",2461002.0
Fortaleza,-3.7275,-38.5275,Brazil,2452185.0
Guatemala City,14.6099,-90.5252,Guatemala,2450212.0
Douala,4.05,9.7,Cameroon,2446945.0
Yaounde,3.8578,11.5181,Cameroon,2440462.0
Lincang,23.8864,100.0871,China,2429497.0
Antalya,36.9081,30.6956,Turkey,2426356.0
Lianshan,40.7503,120.83,China,2426000.0
Tashkent,41.3,69.2667,Uzbekistan,2424100.0
Huangshi,30.2018,115.0326,China,2419000.0
Huainan,32.4831,117.0164,China,2409000.0
Nagpur,21.1539,79.0831,India,2405665.0
Dandong,40.1167,124.3833,China,2400000.0
Shangzhou,33.868,109.9244,China,2400000.0
Jilin,43.85,126.55,China,2396000.0
Bandung,-6.95,107.5667,Indonesia,2394873.0
Tijuana,32.525,-117.0333,Mexico,2384609.0
Ghaziabad,28.6667,77.4167,India,2381452.0
Bekasi,-6.2333,107.0,Indonesia,2381053.0
Jiamusi,46.8081,130.3653,China,2360000.0
Yangjiang,21.8556,111.9627,China,2357000.0
Yuxi,24.3495,102.5432,China,2303518.0
Fushun,41.8708,123.8917,China,2300000.0
Anshun,26.2456,105.934,China,2297612.0
Accra,5.6037,-0.187,Ghana,2291352.0
Vancouver,49.25,-123.1,Canada,2264823.0
Tangerang,-6.1783,106.6319,Indonesia,2237006.0
Konya,37.8714,32.4847,Turkey,2232374.0
Queens,40.7498,-73.7976,United States,2230722.0
Adana,37.0,35.325,Turkey,2220125.0
Yingkou,40.6653,122.2297,China,2220000.0
Sanmenxia,34.7736,111.195,China,2213000.0
Medan,3.6667,98.6667,Indonesia,2210625.0
Ma'anshan,31.7135,118.3605,China,2202899.0
Indore,22.7206,75.8472,India,2201927.0
Pingliang,35.5412,106.6819,China,2190000.0
Quzhou,28.9545,118.8763,China,2185000.0
Baku,40.3667,49.8352,Azerbaijan,2181800.0
Gaoping,30.7804,106.13,China,2174000.0
Huaibei,33.9562,116.789,China,2158000.0
Xining,36.6239,101.7787,China,2154000.0
Yan'an,36.5952,109.4863,China,2150000.0
Havana,23.1367,-82.3589,Cuba,2141652.0
Phnom Penh,11.5696,104.921,Cambodia,2129371.0
Fukuoka,33.5903,130.4019,Japan,2128000.0
Jincheng,35.4906,112.8483,China,2120000.0
Mogadishu,2.0408,45.3425,Somalia,2120000.0
Lishui,28.45,119.9167,China,2116957.0
Qingyang,24.8141,118.5792,China,2111000.0
Riverside,33.9381,-117.3948,United States,2107852.0
Baltimore,39.3051,-76.6144,United States,2106068.0
Las Vegas,36.2333,-115.2654,United States,2104198.0
Haiphong,20.8,106.6667,Vietnam,2103500.0
Laibin,23.7333,109.2333,China,2099711.0
Rawalpindi,33.6007,73.0679,Pakistan,2098231.0
Portland,45.5372,-122.65,United States,2074775.0
Kumasi,6.6833,-1.6167,Ghana,2069350.0
Vadodara,22.3,73.2,India,2065771.0
Perth,-31.9522,115.8589,Australia,2059484.0
Puning,23.2993,116.1586,China,2055552.0
San Antonio,29.4658,-98.5253,United States,2049293.0
Haikou,20.02,110.32,China,2046189.0
Vishakhapatnam,17.7333,83.3167,India,2035922.0
Gaziantep,37.0667,37.3833,Turkey,2028563.0
St. Louis,38.6358,-90.2451,United States,2024074.0
Minsk,53.9022,27.5618,Belarus,2020600.0
Quito,-0.2186,-78.5097,Ecuador,2011388.0
Bamako,12.6458,-7.9922,Mali,2009109.0
Pingxiang,27.6333,113.85,China,2001027.0
Chongzuo,22.4167,107.3667,China,1994285.0
Sanliurfa,37.1583,38.7917,Turkey,1985753.0
Kananga,-5.897,22.4488,Congo (Kinshasa),1971704.0
Peshawar,34.0,71.5,Pakistan,1970042.0
Sapporo,43.0621,141.3544,Japan,1958756.0
Jixi,45.2937,130.965,China,1950000.0
Caracas,10.5,-66.9333,Venezuela,1943901.0
Fuxin,42.0127,121.6486,China,1930000.0
Leeds,53.7997,-1.5492,United Kingdom,1901934.0
Sacramento,38.5667,-121.4683,United States,1898019.0
Blantyre,-15.7861,35.0058,Malawi,1895973.0
Wuwei,37.9278,102.6329,China,1890000.0
Tainan,22.9833,120.1833,Taiwan,1883831.0
Bucharest,44.4,26.0833,Romania,1883425.0
Bhopal,23.25,77.4167,India,1883381.0
Curitiba,-25.4297,-49.2719,Brazil,1879355.0
Xiping,40.08,113.3,China,1873000.0
Asuncion,-25.3,-57.6333,Paraguay,1870000.0
Saidu Sharif,34.75,72.3572,Pakistan,1860310.0
Hamburg,53.55,10.0,Germany,1841179.0
Vienna,48.2083,16.3731,Austria,1840573.0
Aleppo,36.2,37.15,Syria,1834093.0
Meru,0.05,37.65,Kenya,1833000.0
Brazzaville,-4.2667,15.2833,Congo (Brazzaville),1827000.0
Orlando,28.4772,-81.3369,United States,1822394.0
Mersin,36.8,34.6167,Turkey,1814468.0
Almaty,43.25,76.9,Kazakhstan,1806833.0
Kyoto,35.0111,135.7669,Japan,1805000.0
Manaus,-3.1,-60.0167,Brazil,1802014.0
Liaoyang,41.2643,123.1772,China,1800000.0
Baiyin,36.5448,104.1766,China,1799000.0
San Jose,37.3019,-121.8486,United States,1798103.0
Barranquilla,10.96,-74.8,Colombia,1798000.0
Warsaw,52.2167,21.0333,Poland,1790658.0
Shengli,37.45,118.4667,China,1790000.0
Lubumbashi,-11.6697,27.4581,Congo (Kinshasa),1786397.0
Shuyangzha,34.1299,118.7734,China,1770000.0
Esfahan,32.6447,51.6675,Iran,1756126.0
Damascus,33.5131,36.2919,Syria,1754000.0
Shangqiu,34.4504,115.65,China,1753000.0
Budapest,47.4983,19.0408,Hungary,1752286.0
Heihe,50.2458,127.4886,China,1750000.0
Lusaka,-15.4167,28.2833,Zambia,1742979.0
Diyarbakir,37.9108,40.2367,Turkey,1732396.0
Chinchvad,18.6278,73.8131,India,1729320.0
Shuozhou,39.3408,112.4292,China,1714857.0
Cleveland,41.4767,-81.6804,United States,1710093.0
Vitoria,-20.324,-40.366,Brazil,1704000.0
Pittsburgh,40.4396,-79.9762,United States,1703266.0
Mecca,21.4225,39.8261,Saudi Arabia,1700000.0
Mosul,36.3667,43.1167,Iraq,1694000.0
Austin,30.3004,-97.7522,United States,1687311.0
Patna,25.61,85.1414,India,1684222.0
Sanzhou,30.82,108.4,China,1680000.0
Conakry,9.5092,-13.7122,Guinea,1667864.0
Cincinnati,39.1413,-84.5061,United States,1662691.0
Kampala,0.3136,32.5811,Uganda,1659600.0
Ecatepec,19.6097,-99.06,Mexico,1656107.0
Yushan,31.3867,120.9766,China,1651200.0
Makassar,-5.1331,119.4136,Indonesia,1651146.0
Newcastle,55.0077,-1.6578,United Kingdom,1650000.0
Ludhiana,30.9083,75.8486,India,1649000.0
Kansas City,39.1239,-94.5541,United States,1636715.0
Davao,7.0667,125.6,Philippines,1632991.0
Zhongli,24.965,121.2168,Taiwan,1632616.0
Depok,-6.394,106.8225,Indonesia,1631951.0
Manhattan,40.7834,-73.9662,United States,1628706.0
Rabat,34.0253,-6.8361,Morocco,1628000.0
Ouagadougou,12.3572,-1.5353,Burkina Faso,1626950.0
Semarang,-6.9667,110.4167,Indonesia,1621384.0
Yinchuan,38.4795,106.2254,China,1616000.0
Multan,30.1978,71.4711,Pakistan,1606481.0
Harare,-17.8292,31.0522,Zimbabwe,1606000.0
Chengtangcun,35.0833,117.15,China,1603659.0
Novosibirsk,55.0333,82.9167,Russia,1602915.0
Karaj,35.8327,50.9915,Iran,1592492.0
Indianapolis,39.7771,-86.1458,United States,1588961.0
Jingdezhen,29.2942,117.2036,China,1587477.0
Agra,27.18,78.02,India,1585705.0
Caloocan City,14.65,120.9667,Philippines,1583978.0
Kalyan,19.2502,73.1602,India,1576614.0
Puebla,19.0333,-98.1833,Mexico,1576259.0
Gujranwala,32.15,74.1833,Pakistan,1569090.0
Benxi,41.292,123.761,China,1567000.0
Columbus,39.9862,-82.985,United States,1562009.0
Zhuhai,22.2769,113.5678,China,1562000.0
Madurai,9.9197,78.1194,India,1561129.0
Tabriz,38.0833,46.2833,Iran,1558693.0
Jamshedpur,22.8,86.1833,India,1558000.0
Recife,-8.0539,-34.8808,Brazil,1555039.0
Maracaibo,10.6333,-71.6333,Venezuela,1551539.0
Santiago,19.5,-70.67,Dominican Republic,1550753.0
Beihai,21.4667,109.1,China,1539251.0
Shuangyashan,46.6388,131.1545,China,1530000.0
Kobe,34.6913,135.183,Japan,1522944.0
Charlotte,35.208,-80.8304,United States,1512923.0
Yucheng,29.9888,103.0007,China,1512000.0
Changshu,31.65,120.7333,China,1510100.0
Ximeicun,24.9633,118.3811,China,1508000.0
Jianguang,28.1958,115.7833,China,1507402.0
Xushan,30.1697,121.2665,China,1502000.0
Gwangju,35.1667,126.9167,"Korea, South",1501557.0
Guiping,23.4,110.0833,China,1496904.0
Nasik,20.0,73.7833,India,1486053.0
Zhangjiajie,29.1255,110.4844,China,1486000.0
Porto Alegre,-30.0328,-51.23,Brazil,1484941.0
Valencia,10.1667,-68.0,Venezuela,1484430.0
Virginia Beach,36.7335,-76.0435,United States,1478868.0
Daejeon,36.351,127.385,"Korea, South",1475221.0
